[2025-10-06 10:10:34.261 +07:00 INF] HTTP POST /notificationHub/negotiate responded 200 in 15.1786 ms
[2025-10-06 10:10:35.961 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 1.6231 ms
[2025-10-06 10:10:36.564 +07:00 INF] HTTP GET /Account/Logout responded 302 in 9.8442 ms
[2025-10-06 10:10:36.634 +07:00 INF] HTTP GET /Account/Login responded 200 in 64.8931 ms
[2025-10-06 10:10:36.639 +07:00 INF] HTTP GET /notificationHub responded 101 in 2326.7241 ms
[2025-10-06 10:10:36.663 +07:00 INF] HTTP GET /js/Login.js responded 404 in 1.4389 ms
[2025-10-06 10:10:38.280 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 1.7011 ms
[2025-10-06 10:10:40.503 +07:00 INF] HTTP POST /Account/Login responded 302 in 240.5550 ms
[2025-10-06 10:10:40.560 +07:00 INF] HTTP GET /Home responded 200 in 47.9522 ms
[2025-10-06 10:10:40.609 +07:00 INF] HTTP POST /notificationHub/negotiate responded 200 in 5.0222 ms
[2025-10-06 10:10:42.177 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 1.0140 ms
[2025-10-06 10:10:44.941 +07:00 INF] HTTP GET /Order/OrderList responded 200 in 37.5575 ms
[2025-10-06 10:10:44.951 +07:00 INF] HTTP GET /notificationHub responded 101 in 4331.4853 ms
[2025-10-06 10:10:44.979 +07:00 INF] HTTP POST /notificationHub/negotiate responded 200 in 2.2088 ms
[2025-10-06 10:10:46.478 +07:00 INF] HTTP GET /Order responded 200 in 66.0246 ms
[2025-10-06 10:10:46.493 +07:00 INF] HTTP GET /notificationHub responded 101 in 1488.2601 ms
[2025-10-06 10:10:46.528 +07:00 INF] HTTP POST /notificationHub/negotiate responded 200 in 2.9944 ms
[2025-10-06 10:10:46.580 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 0.8973 ms
[2025-10-06 10:10:47.732 +07:00 INF] HTTP GET /Order/Create responded 200 in 376.6538 ms
[2025-10-06 10:10:47.742 +07:00 INF] HTTP GET /notificationHub responded 101 in 1173.0307 ms
[2025-10-06 10:10:47.792 +07:00 INF] HTTP POST /notificationHub/negotiate responded 200 in 12.2481 ms
[2025-10-06 10:10:48.145 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 0.9542 ms
[2025-10-06 10:10:49.273 +07:00 INF] HTTP POST /Order/AddCart responded 302 in 113.5330 ms
[2025-10-06 10:10:49.334 +07:00 INF] HTTP GET /Order/Create responded 200 in 56.3982 ms
[2025-10-06 10:10:49.349 +07:00 INF] HTTP GET /notificationHub responded 101 in 1507.4049 ms
[2025-10-06 10:10:49.420 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 5.5652 ms
